Group1; SecondsElapsed; DateTimePC; N95_NTC1 | N95_NTC2 | N95_TestSB || N13_NTC1 | N13_NTC2 | N13_TestSB || N18_NTC1 | N18_NTC2 | N18_TestSB || N19_NTC1 | N19_NTC2 | N19_TestSB || N25_NTC1 | N25_NTC2 | N25_TestSB || N26_NTC1 | N26_NTC2 | N26_TestSB || N28_NTC1 | N28_NTC2 | N28_TestSB || N35_NTC1 | N35_NTC2 | N35_TestSB || N62_NTC1 | N62_NTC2 | N62_TestSB || N85_NTC1 | N85_NTC2 | N85_TestSB || N86_NTC1 | N86_NTC2 | N86_TestSB || N87_NTC1 | N87_NTC2 | N87_TestSB || N98_NTC1 | N98_NTC2 | N98_TestSB
Group1; 2914.815167; 2026-07-07 11:54:52.525867; 1070299 | 1071526 | 1070513 || 1069330 | 1068803 | 1069587 || 1073937 | 1072770 | 1070747 || 1068422 | 1063351 | 1063263 || 1063195 | 1063655 | 1064054 || 1061145 | 1062091 | 1062009 || 1058346 | 16777216 | 1059038 || 1063039 | 1057386 | 1055078 || 1056363 | 1058510 | 1055855 || 1060430 | 1055702 | 1059146 || 1057603 | 1054526 | 1053524 || 1052251 | 1051317 | 1049697 || 1051877 | 1051557 | 1048331; TOFFMS=0|752|1520|2288|3040|3808|4560|5328|6096|6848|7616|8385|9136|9904|10672|11424|12192|12960|13711|14480|15247|15999|16767|17535|18287|19055|19823|20575|21343|22095|22863|23631|24383|25151|25919|26671|27439|28207|28959
Group1; 2944.542199; 2026-07-07 11:55:22.252899; 1048225 | 1049437 | 1048795 || 1047406 | 1045645 | 1046815 || 1053057 | 1052960 | 1045667 || 1047166 | 1042287 | 1041547 || 1041591 | 1041815 | 1041889 || 1039817 | 1040251 | 1040100 || 1036319 | 16777216 | 1037599 || 1040825 | 1035955 | 1033291 || 1034205 | 1036990 | 1034631 || 1038852 | 1034480 | 1037986 || 1035717 | 1032931 | 1031023 || 1030940 | 1029869 | 1028489 || 1031077 | 1030532 | 1026718; TOFFMS=0|768|1520|2288|3056|3808|4576|5344|6096|6864|7632|8383|9152|9920|10671|11439|12207|12959|13727|14495|15247|16015|16767|17535|18303|19055|19823|20591|21343|22111|22879|23631|24399|25167|25919|26687|27455|28207|28975
Group1; 2974.284895; 2026-07-07 11:55:51.995595; 1026988 | 1028103 | 1028041 || 1026059 | 1025432 | 1025887 || 1031667 | 1032805 | 1023712 || 1026675 | 1021306 | 1019505 || 1020761 | 1020386 | 1020647 || 1018564 | 1019143 | 1018744 || 1015694 | 16777216 | 1016192 || 1020113 | 1014469 | 1012497 || 1013971 | 1016415 | 1014085 || 1017590 | 1013473 | 1017615 || 1014769 | 1011742 | 1011462 || 1009652 | 1008322 | 1007826 || 1009343 | 1009240 | 1005921; TOFFMS=0|752|1520|2288|3041|3808|4576|5328|6096|6848|7616|8384|9136|9904|10672|11424|12192|12960|13712|14480|15247|15999|16767|17536|18288|19055|19824|20575|21343|22111|22863|23631|24399|25151|25919|26671|27439|28207|28959
Group1; 3004.011933; 2026-07-07 11:56:21.722633; 1005907 | 1007028 | 1006663 || 1005992 | 1004330 | 1005864 || 1010837 | 1011031 | 1004540 || 1005400 | 1000910 | 999671 || 1000413 | 1000135 | 1000265 || 997940 | 998399 | 998611 || 995180 | 16777216 | 996335 || 999194 | 994193 | 991985 || 992916 | 995455 | 993466 || 996842 | 993002 | 996854 || 993987 | 991268 | 990580 || 989818 | 989007 | 988069 || 989906 | 989631 | 987158; TOFFMS=0|768|1520|2288|3056|3808|4576|5344|6096|6864|7632|8384|9152|9920|10672|11440|12207|12960|13728|14495|15247|16016|16767|17535|18303|19055|19823|20591|21343|22111|22879|23631|24399|25167|25919|26687|27455|28207|28975
Group1; 3033.754757; 2026-07-07 11:56:51.465457; 986057 | 986752 | 986404 || 985133 | 983949 | 985451 || 989812 | 989070 | 983757 || 984981 | 980097 | 980130 || 979588 | 979552 | 979582 || 978130 | 978014 | 978207 || 974813 | 16777216 | 976292 || 979103 | 974037 | 972484 || 973381 | 975501 | 974104 || 977170 | 972915 | 977080 || 974106 | 970984 | 969747 || 969580 | 968799 | 967944 || 968982 | 968846 | 965152; TOFFMS=0|752|1520|2288|3040|3808|4560|5328|6096|6848|7616|8384|9136|9904|10672|11424|12192|12959|13711|14480|15247|16000|16767|17535|18287|19055|19807|20575|21343|22095|22863|23631|24383|25151|25919|26671|27439|28207|28959
Group1; 3063.481678; 2026-07-07 11:57:21.192378; 965092 | 966147 | 965937 || 965128 | 963866 | 964826 || 970304 | 970448 | 963212 || 964628 | 959893 | 959331 || 959167 | 959554 | 959364 || 957277 | 957571 | 957422 || 953940 | 16777216 | 955983 || 958588 | 954256 | 952201 || 952996 | 954926 | 953814 || 956407 | 952408 | 955303 || 953668 | 951243 | 950627 || 949181 | 948852 | 948566 || 949058 | 949687 | 946909; TOFFMS=0|768|1520|2288|3056|3808|4576|5344|6096|6864|7616|8384|9152|9903|10672|11439|12191|12959|13727|14479|15247|16015|16767|17535|18303|19055|19823|20592|21343|22111|22879|23631|24399|25151|25919|26687|27439|28207|28975
Group1; 3093.208521; 2026-07-07 11:57:50.919221; 946413 | 947418 | 946669 || 945523 | 944562 | 946069 || 949798 | 949416 | 944241 || 945579 | 940696 | 939894 || 940190 | 940789 | 941018 || 938925 | 939213 | 939193 || 936205 | 16777216 | 937359 || 939772 | 935000 | 933384 || 934257 | 936651 | 935218 || 937711 | 933958 | 937751 || 935169 | 932689 | 932291 || 931009 | 930295 | 930079 || 930837 | 930984 | 928424; TOFFMS=0|768|1536|2288|3056|3824|4576|5344|6112|6864|7632|8400|9152|9920|10672|11440|12208|12960|13728|14496|15247|16015|16784|17535|18303|19071|19823|20591|21359|22111|22879|23647|24399|25167|25935|26687|27455|28207|28975
Group1; 3122.951323; 2026-07-07 11:58:20.662023; 927792 | 928936 | 929136 || 926740 | 925292 | 927154 || 930851 | 929094 | 926831 || 926286 | 922074 | 921826 || 921610 | 922188 | 922255 || 920257 | 920630 | 920527 || 916472 | 16777216 | 917961 || 920656 | 916232 | 914364 || 915263 | 917157 | 915195 || 918127 | 914441 | 918624 || 916145 | 912733 | 912503 || 911825 | 910671 | 910070 || 911329 | 911269 | 908191; TOFFMS=0|752|1520|2288|3040|3808|4576|5328|6096|6864|7616|8384|9152|9904|10672|11440|12192|12960|13727|14479|15248|16015|16768|17535|18287|19056|19823|20575|21343|22111|22863|23631|24399|25151|25919|26687|27439|28207|28975
Group1; 3152.678477; 2026-07-07 11:58:50.389177; 908282 | 909135 | 909033 || 907721 | 905628 | 906955 || 912270 | 911192 | 905092 || 906974 | 902405 | 901569 || 902207 | 902209 | 902471 || 900363 | 900784 | 900814 || 897410 | 16777216 | 898229 || 901008 | 896636 | 895102 || 895818 | 897987 | 896589 || 898753 | 895040 | 898308 || 895845 | 893639 | 892853 || 892093 | 891769 | 891162 || 892203 | 892582 | 889540; TOFFMS=0|768|1536|2288|3056|3808|4576|5344|6096|6864|7631|8384|9151|9920|10671|11440|12207|12959|13727|14495|15247|16015|16783|17535|18303|19071|19823|20591|21343|22111|22879|23631|24399|25167|25919|26687|27455|28207|28975
Group1; 3182.421101; 2026-07-07 11:59:20.131801; 889029 | 889751 | 889004 || 888129 | 887161 | 888666 || 892305 | 893087 | 887192 || 888324 | 883765 | 883084 || 883359 | 883453 | 883554 || 881273 | 881739 | 881621 || 879395 | 16777216 | 880787 || 882776 | 878485 | 876601 || 877784 | 879163 | 877916 || 880552 | 877128 | 878620 || 878121 | 875628 | 875001 || 873953 | 873274 | 872415 || 873924 | 873822 | 870931; TOFFMS=0|752|1520|2288|3040|3808|4576|5328|6096|6864|7616|8384|9136|9904|10672|11424|12192|12960|13712|14480|15247|16000|16767|17535|18288|19055|19823|20575|21343|22111|22864|23631|24383|25151|25919|26671|27439|28207|28959
Group1; 3212.14845; 2026-07-07 11:59:49.859150; 870373 | 870798 | 870457 || 869691 | 868446 | 869751 || 874044 | 871973 | 868090 || 869215 | 864679 | 863984 || 864387 | 864731 | 864643 || 863381 | 863287 | 862153 || 859552 | 16777216 | 860585 || 863194 | 858842 | 856582 || 857498 | 859662 | 858047 || 860946 | 857284 | 860947 || 858270 | 855562 | 854701 || 853858 | 852719 | 851814 || 852762 | 852605 | 850582; TOFFMS=0|767|1519|2287|3056|3807|4576|5343|6095|6864|7631|8383|9152|9919|10671|11439|12207|12959|13727|14495|15247|16015|16767|17535|18303|19055|19823|20591|21343|22111|22879|23631|24399|25167|25919|26687|27455|28207|28975
Group1; 3241.890851; 2026-07-07 12:00:19.601551; 849247 | 850200 | 849733 || 848814 | 847029 | 847682 || 853446 | 851979 | 846189 || 847676 | 842315 | 841784 || 841733 | 841016 | 841930 || 839734 | 839621 | 839069 || 836276 | 16777216 | 835974 || 839179 | 834580 | 832073 || 833694 | 834662 | 832676 || 837143 | 832092 | 835248 || 832613 | 828394 | 828404 || 826457 | 825546 | 824191 || 826094 | 825214 | 821834; TOFFMS=0|752|1520|2288|3040|3808|4560|5328|6096|6848|7616|8384|9136|9904|10672|11424|12192|12960|13712|14479|15247|16000|16767|17519|18287|19055|19807|20575|21343|22095|22863|23631|24383|25151|25919|26671|27439|28207|28959
Group1; 3271.617729; 2026-07-07 12:00:49.328429; 821808 | 821534 | 821151 || 820804 | 818314 | 819063 || 825913 | 822437 | 817012 || 817634 | 812028 | 811140 || 811095 | 811112 | 811030 || 809150 | 808232 | 807699 || 804633 | 16777216 | 804418 || 807351 | 802450 | 800076 || 800902 | 801274 | 799423 || 804015 | 798953 | 805468 || 799022 | 795542 | 794508 || 791979 | 791591 | 791129 || 791371 | 790918 | 788393; TOFFMS=0|768|1520|2288|3056|3808|4576|5328|6096|6864|7616|8384|9152|9904|10672|11439|12192|12960|13728|14480|15247|16016|16767|17536|18303|19055|19823|20591|21343|22111|22863|23631|24399|25151|25919|26687|27439|28207|28975
Group1; 3301.344908; 2026-07-07 12:01:19.055608; 787663 | 787951 | 787767 || 786000 | 785659 | 786010 || 793047 | 794229 | 785023 || 785465 | 781654 | 781066 || 781385 | 781555 | 782052 || 780109 | 780234 | 780319 || 777707 | 16777216 | 778967 || 781419 | 777684 | 776026 || 777384 | 779087 | 777489 || 780302 | 776961 | 779099 || 778605 | 777241 | 776316 || 776327 | 775929 | 775610 || 776298 | 777069 | 774849; TOFFMS=0|768|1536|2288|3056|3824|4576|5344|6111|6864|7632|8384|9151|9919|10671|11439|12207|12960|13727|14496|15247|16015|16783|17535|18303|19071|19823|20591|21359|22111|22879|23647|24399|25167|25919|26687|27455|28207|28975
Group1; 3331.087594; 2026-07-07 12:01:48.798294; 774746 | 776004 | 775937 || 774891 | 774499 | 776190 || 777696 | 776725 | 774716 || 775342 | 773172 | 773335 || 773144 | 774252 | 774913 || 773207 | 774052 | 774515 || 772221 | 16777216 | 774118 || 776062 | 773051 | 771662 || 772833 | 775274 | 774245 || 775020 | 772734 | 773385 || 774901 | 774323 | 773538 || 774083 | 773738 | 773612 || 774148 | 775342 | 773228; TOFFMS=0|752|1520|2288|3040|3808|4576|5328|6096|6864|7616|8384|9152|9904|10672|11439|12192|12959|13712|14480|15247|16000|16767|17535|18287|19055|19824|20575|21343|22111|22863|23631|24399|25151|25919|26687|27439|28207|28959
Group1; 3360.814504; 2026-07-07 12:02:18.525204; 773213 | 774631 | 774841 || 773727 | 773634 | 775571 || 775195 | 774201 | 774078 || 774612 | 772816 | 772865 || 772819 | 774022 | 774593 || 772928 | 773805 | 774019 || 771876 | 16777216 | 773390 || 775162 | 771961 | 770399 || 771573 | 773592 | 771913 || 773067 | 770533 | 772153 || 772263 | 770920 | 769986 || 769832 | 768982 | 768326 || 769367 | 769586 | 767424; TOFFMS=0|768|1520|2288|3056|3808|4576|5344|6096|6864|7632|8384|9152|9920|10672|11440|12208|12959|13727|14495|15247|16015|16767|17535|18303|19055|19823|20591|21343|22111|22879|23631|24399|25167|25919|26687|27455|28207|28975
Group1; 3390.557238; 2026-07-07 12:02:48.267938; 766903 | 767716 | 767668 || 765852 | 765108 | 766316 || 769032 | 767647 | 765541 || 765255 | 761181 | 760557 || 760596 | 760417 | 760555 || 758675 | 758212 | 758335 || 755687 | 16777216 | 756061 || 759185 | 754650 | 752491 || 753812 | 754776 | 753266 || 756619 | 752401 | 756263 || 753093 | 750883 | 749870 || 748514 | 748139 | 747105 || 748538 | 748237 | 746095; TOFFMS=0|752|1520|2288|3040|3808|4560|5328|6096|6848|7616|8384|9136|9904|10672|11424|12192|12960|13712|14480|15247|16000|16768|17536|18287|19056|19808|20576|21343|22095|22863|23631|24383|25151|25919|26671|27439|28207|28959
Group1; 3420.284859; 2026-07-07 12:03:17.995559; 745268 | 745783 | 745275 || 744262 | 743242 | 744258 || 748251 | 749100 | 743565 || 743444 | 739744 | 739417 || 739405 | 739949 | 739989 || 738526 | 738482 | 738346 || 735697 | 16777216 | 736981 || 739181 | 735652 | 734354 || 735336 | 737173 | 735801 || 738142 | 734966 | 737230 || 736446 | 735050 | 734017 || 734516 | 733710 | 733319 || 734062 | 734836 | 732752; TOFFMS=0|767|1519|2287|3055|3807|4575|5327|6095|6863|7615|8384|9151|9903|10671|11439|12191|12959|13727|14479|15247|16015|16767|17535|18303|19055|19823|20591|21343|22111|22863|23630|24399|25150|25918|26686|27438|28206|28975
Group1; 3450.011135; 2026-07-07 12:03:47.721835; 732469 | 733679 | 733880 || 732677 | 732322 | 734103 || 735460 | 734570 | 732787 || 733450 | 731449 | 731581 || 731311 | 732420 | 732869 || 731239 | 732015 | 732410 || 730357 | 16777216 | 732012 || 733805 | 730828 | 729528 || 730565 | 732771 | 731714 || 732613 | 730453 | 731224 || 732372 | 731867 | 730821 || 731065 | 730706 | 730462 || 731081 | 732029 | 729968; TOFFMS=0|768|1536|2289|3056|3824|4576|5344|6112|6864|7632|8399|9152|9920|10672|11440|12208|12960|13727|14495|15248|16016|16783|17535|18303|19071|19824|20591|21359|22112|22879|23647|24399|25167|25935|26687|27455|28207|28975
Group1; 3479.753992; 2026-07-07 12:04:17.464692; 729809 | 730888 | 730680 || 729848 | 729223 | 730916 || 731610 | 730503 | 729456 || 730294 | 727911 | 727800 || 727828 | 728395 | 728774 || 727343 | 727733 | 728021 || 725916 | 16777216 | 727316 || 729231 | 726069 | 724407 || 725699 | 727473 | 726049 || 727442 | 724768 | 726491 || 726290 | 725227 | 724482 || 724545 | 723906 | 723348 || 724056 | 724496 | 721812; TOFFMS=0|752|1520|2288|3040|3808|4576|5328|6097|6864|7616|8384|9152|9904|10672|11440|12192|12959|13727|14480|15247|16000|16768|17535|18287|19055|19823|20575|21343|22111|22863|23631|24399|25151|25919|26687|27439|28207|28959
Group1; 3509.480954; 2026-07-07 12:04:47.191654; 722231 | 723206 | 723057 || 722206 | 721473 | 722514 || 724681 | 723887 | 721182 || 721995 | 719437 | 719508 || 719278 | 719848 | 719740 || 718589 | 719015 | 718851 || 716747 | 16777216 | 718062 || 719941 | 716858 | 715373 || 716556 | 718482 | 717139 || 718715 | 716135 | 717467 || 717759 | 716762 | 715735 || 715844 | 715456 | 714915 || 715754 | 716372 | 714587; TOFFMS=0|768|1520|2288|3056|3808|4576|5344|6096|6864|7632|8384|9152|9920|10672|11440|12207|12960|13727|14495|15248|16015|16783|17535|18303|19055|19823|20591|21343|22111|22879|23631|24399|25167|25919|26687|27455|28207|28975
Group1; 3539.223764; 2026-07-07 12:05:16.934464; 714143 | 715300 | 715414 || 714253 | 713917 | 715642 || 716427 | 715628 | 714240 || 714686 | 712470 | 712423 || 712279 | 713269 | 713800 || 712325 | 713085 | 713397 || 711321 | 16777216 | 712714 || 714561 | 711594 | 710390 || 711426 | 713439 | 712316 || 713320 | 711141 | 712141 || 713074 | 712395 | 711461 || 711890 | 711441 | 711227 || 711769 | 712697 | 710687; TOFFMS=0|752|1520|2288|3040|3808|4560|5328|6096|6848|7616|8384|9136|9904|10672|11424|12192|12959|13712|14480|15247|15999|16767|17535|18287|19055|19807|20575|21343|22095|22863|23631|24383|25151|25919|26671|27439|28207|28959
Group1; 3568.950672; 2026-07-07 12:05:46.661372; 710652 | 711817 | 712003 || 710777 | 710614 | 712508 || 712672 | 711620 | 711016 || 711675 | 709767 | 709759 || 709703 | 710678 | 711187 || 709750 | 710566 | 710721 || 708822 | 16777216 | 710382 || 711981 | 709192 | 707900 || 708938 | 711112 | 710030 || 710830 | 708702 | 709503 || 710606 | 709893 | 709028 || 709399 | 709069 | 708658 || 709348 | 710034 | 707894; TOFFMS=0|768|1520|2288|3056|3808|4576|5328|6096|6864|7616|8384|9152|9904|10671|11440|12192|12959|13728|14479|15247|16015|16767|17535|18303|19055|19824|20591|21343|22111|22863|23631|24399|25151|25919|26687|27439|28207|28975
Group1; 3598.677487; 2026-07-07 12:06:16.388187; 707859 | 708977 | 709122 || 708086 | 707824 | 709560 || 709873 | 708770 | 708257 || 708726 | 706949 | 707012 || 706975 | 708116 | 708762 || 707284 | 708154 | 708521 || 706460 | 16777216 | 708393 || 710093 | 707470 | 706065 || 707282 | 709331 | 708290 || 708908 | 707020 | 707458 || 709145 | 708837 | 708000 || 708685 | 708363 | 708121 || 708634 | 709727 | 707778; TOFFMS=0|768|1536|2288|3056|3824|4576|5344|6112|6864|7632|8384|9152|9920|10672|11440|12208|12960|13728|14496|15248|16015|16783|17535|18303|19071|19823|20591|21359|22111|22879|23647|24399|25167|25919|26687|27455|28207|28975
Group1; 3628.42041; 2026-07-07 12:06:46.131110; 707807 | 709176 | 709639 || 708437 | 708431 | 710377 || 709610 | 708697 | 708932 || 709330 | 708030 | 708161 || 708321 | 709700 | 710467 || 708989 | 710046 | 710394 || 708765 | 16777216 | 710936 || 712393 | 710057 | 709336 || 710301 | 713106 | 712671 || 712059 | 711002 | 710286 || 713617 | 714399 | 713644 || 714970 | 715000 | 715479 || 715435 | 717410 | 715918; TOFFMS=0|752|1520|2288|3040|3808|4576|5328|6096|6864|7616|8384|9152|9904|10672|11440|12192|12960|13711|14479|15247|15999|16767|17535|18287|19055|19823|20575|21343|22111|22863|23631|24399|25151|25919|26687|27439|28207|28959
Group1; 3658.1473; 2026-07-07 12:07:15.858000; 716042 | 717662 | 718395 || 716521 | 717383 | 720068 || 716489 | 717273 | 719013 || 718967 | 718957 | 719718 || 719526 | 721634 | 722571 || 721054 | 722666 | 723123 || 721449 | 16777216 | 724825 || 725769 | 723886 | 723396 || 724116 | 727206 | 726957 || 725183 | 724715 | 723615 || 727989 | 728839 | 728031 || 729429 | 729670 | 730359 || 730391 | 732143 | 730826; TOFFMS=0|768|1520|2288|3057|3808|4576|5344|6096|6864|7632|8384|9152|9920|10672|11440|12207|12960|13728|14495|15247|16015|16767|17535|18303|19055|19823|20591|21343|22111|22879|23631|24399|25167|25919|26687|27455|28207|28975
Group1; SecondsElapsed; DateTimePC; N95_NTC1 | N95_NTC2 | N95_TestSB || N13_NTC1 | N13_NTC2 | N13_TestSB || N18_NTC1 | N18_NTC2 | N18_TestSB || N19_NTC1 | N19_NTC2 | N19_TestSB || N25_NTC1 | N25_NTC2 | N25_TestSB || N26_NTC1 | N26_NTC2 | N26_TestSB || N28_NTC1 | N28_NTC2 | N28_TestSB || N35_NTC1 | N35_NTC2 | N35_TestSB || N62_NTC1 | N62_NTC2 | N62_TestSB || N85_NTC1 | N85_NTC2 | N85_TestSB || N86_NTC1 | N86_NTC2 | N86_TestSB || N87_NTC1 | N87_NTC2 | N87_TestSB || N98_NTC1 | N98_NTC2 | N98_TestSB
Group1; 3687.195453; 2026-07-07 12:07:44.906153; New Node Array: 95 13 18 19 25 26 28 35 62 85 86 87 98; TOFFMS=0
Group1; 3687.931315; 2026-07-07 12:07:45.642015; N95_NTC1 | N95_NTC2 | N95_TestSB || N13_NTC1 | N13_NTC2 | N13_TestSB || N18_NTC1 | N18_NTC2 | N18_TestSB || N19_NTC1 | N19_NTC2 | N19_TestSB || N25_NTC1 | N25_NTC2 | N25_TestSB || N26_NTC1 | N26_NTC2 | N26_TestSB || N28_NTC1 | N28_NTC2 | N28_TestSB || N35_NTC1 | N35_NTC2 | N35_TestSB || N62_NTC1 | N62_NTC2 | N62_TestSB || N85_NTC1 | N85_NTC2 | N85_TestSB || N86_NTC1 | N86_NTC2 | N86_TestSB || N87_NTC1 | N87_NTC2 | N87_TestSB || N98_NTC1 | N98_NTC2 | N98_TestSB; TOFFMS=0|768|1536|2288|3056|3824|4576|5344|6112|6864|7632|8400|9152|9920|10688|11440|12208|12960|13727|14495|15248|16015|16784|17535|18303|19071|19823|20591|21359|22111|22879|23631|24399|25167|25919|26687|27455|28207|28975
Group1; 3717.674162; 2026-07-07 12:08:15.384862; 746558 | 748320 | 748921 || 747765 | 748183 | 750683 || 747665 | 747189 | 749088 || 749934 | 749975 | 750685 || 750461 | 752141 | 753529 || 751546 | 753103 | 753834 || 752416 | 16777216 | 755268 || 756635 | 754547 | 753592 || 755069 | 758103 | 757256 || 755814 | 755206 | 754073 || 758248 | 758969 | 758502 || 759986 | 759826 | 759789 || 760207 | 762152 | 760278; TOFFMS=0|752|1520|2288|3040|3808|4576|5328|6096|6864|7616|8384|9152|9904|10672|11424|12192|12960|13711|14480|15248|16000|16768|17535|18287|19055|19823|20575|21343|22111|22863|23631|24399|25151|25919|26671|27439|28207|28959
Group1; 3747.401229; 2026-07-07 12:08:45.111929; 760406 | 762405 | 762836 || 761404 | 761759 | 764394 || 761080 | 760812 | 762431 || 763597 | 763562 | 764265 || 763943 | 765869 | 766895 || 765200 | 766940 | 767613 || 765915 | 16777216 | 768542 || 770204 | 767820 | 766760 || 768392 | 771543 | 770814 || 768997 | 768500 | 766858 || 771428 | 772273 | 771721 || 772900 | 772857 | 773367 || 773145 | 775497 | 773235; TOFFMS=0|768|1520|2288|3056|3808|4576|5344|6096|6864|7632|8383|9151|9919|10672|11439|12207|12959|13727|14496|15247|16015|16767|17535|18303|19055|19823|20591|21343|22111|22879|23631|24399|25167|25919|26687|27455|28207|28975
Group1; 3777.143924; 2026-07-07 12:09:14.854624; 773613 | 775390 | 775610 || 774474 | 774972 | 777674 || 773929 | 772557 | 776069 || 776404 | 776267 | 777022 || 776798 | 778630 | 779754 || 778105 | 779722 | 780423 || 778709 | 16777216 | 781389 || 783049 | 780941 | 779885 || 781106 | 784171 | 783353 || 781832 | 781207 | 780757 || 784352 | 785209 | 784306 || 785778 | 785547 | 786181 || 785919 | 788082 | 786055; TOFFMS=0|752|1520|2288|3040|3808|4560|5328|6096|6848|7616|8384|9136|9904|10672|11424|12192|12959|13712|14479|15248|16000|16767|17535|18287|19056|19807|20575|21343|22095|22863|23631|24383|25151|25919|26671|27439|28207|28959
Group1; 3806.870938; 2026-07-07 12:09:44.581638; 786062 | 788339 | 788583 || 787150 | 787934 | 790130 || 787095 | 785522 | 788699 || 789218 | 788893 | 789212 || 789318 | 791694 | 792378 || 790843 | 792666 | 793183 || 791550 | 16777216 | 794818 || 795539 | 793854 | 792786 || 793780 | 797425 | 796700 || 794757 | 793887 | 793304 || 797273 | 798039 | 797167 || 798734 | 798635 | 798897 || 799284 | 801176 | 799476; TOFFMS=0|768|1520|2288|3056|3808|4576|5328|6096|6864|7616|8384|9152|9904|10671|11440|12191|12960|13727|14479|15247|16015|16767|17535|18303|19055|19823|20591|21343|22111|22879|23631|24399|25151|25919|26687|27439|28207|28975
Group1; 3836.597866; 2026-07-07 12:10:14.308566; 799274 | 801338 | 801832 || 800365 | 800885 | 803504 || 800399 | 799298 | 802051 || 802499 | 802307 | 803061 || 802788 | 804819 | 805829 || 804235 | 805750 | 806384 || 804627 | 16777216 | 807790 || 808741 | 806597 | 805676 || 806895 | 810174 | 809460 || 807947 | 807399 | 806369 || 810195 | 811296 | 810420 || 811851 | 811751 | 811806 || 812343 | 814114 | 811634; TOFFMS=0|768|1536|2288|3056|3824|4576|5344|6112|6864|7632|8384|9152|9920|10671|11440|12207|12959|13728|14495|15247|16015|16783|17535|18303|19071|19823|20591|21359|22111|22879|23647|24399|25167|25919|26687|27455|28207|28975
Group1; 3866.340773; 2026-07-07 12:10:44.051473; 812429 | 814341 | 814767 || 813543 | 813786 | 816219 || 813537 | 811710 | 813747 || 815400 | 815166 | 815954 || 815716 | 817747 | 819131 || 817093 | 818509 | 819467 || 817638 | 16777216 | 820850 || 822153 | 820045 | 818849 || 820095 | 823290 | 822347 || 820980 | 820245 | 820112 || 823405 | 824618 | 823351 || 825240 | 825060 | 824911 || 825490 | 827321 | 825470; TOFFMS=0|752|1520|2288|3040|3808|4576|5328|6096|6864|7615|8384|9151|9903|10671|11439|12191|12959|13711|14479|15247|15999|16768|17535|18287|19055|19823|20575|21343|22111|22863|23631|24399|25151|25919|26687|27439|28207|28959
Group1; 3896.068012; 2026-07-07 12:11:13.778712; 825590 | 827663 | 828112 || 826387 | 827184 | 830051 || 825730 | 825893 | 828952 || 828592 | 828264 | 829188 || 828831 | 830989 | 832237 || 830425 | 832175 | 832758 || 830896 | 16777216 | 833631 || 835613 | 833414 | 832098 || 833402 | 836958 | 835783 || 834276 | 833658 | 832476 || 836797 | 837844 | 836711 || 838504 | 837935 | 837979 || 838814 | 840801 | 838451; TOFFMS=0|768|1519|2288|3055|3807|4575|5343|6095|6863|7631|8383|9151|9919|10671|11439|12207|12959|13727|14495|15247|16015|16767|17535|18303|19055|19823|20591|21343|22111|22879|23631|24399|25166|25919|26686|27455|28206|28974
Group1; 3925.810304; 2026-07-07 12:11:43.521004; 839040 | 841142 | 841274 || 840191 | 840186 | 843401 || 839782 | 837982 | 841678 || 842046 | 841821 | 842167 || 842342 | 844419 | 845398 || 843870 | 845422 | 846282 || 844325 | 16777216 | 847472 || 848774 | 846709 | 845679 || 846667 | 850288 | 849363 || 847894 | 846942 | 845848 || 850270 | 851394 | 850064 || 851540 | 851521 | 852047 || 852111 | 854074 | 852770; TOFFMS=0|752|1520|2272|3040|3808|4560|5328|6096|6848|7616|8384|9136|9904|10672|11424|12192|12960|13712|14480|15248|15999|16768|17520|18287|19055|19807|20575|21344|22095|22864|23631|24383|25151|25919|26671|27439|28207|28959
Group1; 3955.53728; 2026-07-07 12:12:13.247980; 852351 | 854311 | 855219 || 853032 | 853758 | 856701 || 852928 | 851480 | 855391 || 855352 | 855234 | 856041 || 855877 | 857936 | 858821 || 857362 | 859145 | 859917 || 857721 | 16777216 | 860685 || 862433 | 860322 | 858526 || 860442 | 863655 | 862553 || 861392 | 860682 | 859220 || 863564 | 864867 | 863514 || 865590 | 865320 | 865047 || 865987 | 867939 | 865806; TOFFMS=0|768|1521|2288|3056|3808|4576|5344|6096|6864|7616|8384|9152|9904|10672|11440|12192|12960|13728|14480|15248|16016|16767|17535|18303|19055|19823|20591|21343|22111|22879|23631|24399|25151|25919|26687|27439|28207|28975
Group1; 3985.26441; 2026-07-07 12:12:42.975110; 866053 | 867915 | 868412 || 867285 | 867392 | 870244 || 866826 | 865485 | 867925 || 869492 | 868921 | 869685 || 869623 | 871718 | 872422 || 870952 | 872670 | 873473 || 871817 | 16777216 | 874489 || 876247 | 873833 | 872431 || 874143 | 877553 | 876362 || 875043 | 874230 | 873794 || 877555 | 878709 | 877792 || 879120 | 879079 | 879105 || 879748 | 881619 | 879670; TOFFMS=0|768|1536|2288|3056|3824|4575|5342|6108|6859|7626|8393|9144|9911|10662|11429|12197|12948|13715|14482|15234|16001|16768|17520|18287|19054|19806|20573|21341|22093|22860|23628|24380|25147|25899|26666|27434|28186|28953
