"run","setpoint_C","Tref_C","node","channel","flag","counts","R_mean","resid_mK","bias_SM_mK","win_min","sprt_sd_mK","sprt_drift_mK","settled"
"A_20260703-234444_multiday_-35to0",-30,-30.1679201480037,"N89","NTC1","ok",2859324.46666667,114533.332746498,15.2177202507957,-4.2,30,10.6,-25.3,FALSE
"A_20260703-234444_multiday_-35to0",-30,-30.1679201480037,"N89","NTC2","ok",2865401.38333333,114860.739604773,-39.9731581259815,-6.5,30,10.6,-25.3,FALSE
"A_20260703-234444_multiday_-35to0",-30,-30.1679201480037,"N89","TestSB","ok",2865224.21666667,114851.187591327,-38.3654586602304,-47.4,30,10.6,-25.3,FALSE
"A_20260703-234444_multiday_-35to0",-30,-30.1679201480037,"N90","NTC1","ok",2856941.73333333,114405.088541924,36.8836830412178,-5.3,30,10.6,-25.3,FALSE
"A_20260703-234444_multiday_-35to0",-30,-30.1679201480037,"N90","NTC2","ok",2867553.95,114976.828685676,-59.5002279163239,-4.1,30,10.6,-25.3,FALSE
"A_20260703-234444_multiday_-35to0",-30,-30.1679201480037,"N90","TestSB","ok",2867490.55,114973.408629107,-58.9252620255039,-6.3,30,10.6,-25.3,FALSE
"A_20260703-234444_multiday_-35to0",-30,-30.1679201480037,"N91","NTC1","ok",2861062.18333333,114626.907047785,-0.573974423822676,-71.1,30,10.6,-25.3,FALSE
"A_20260703-234444_multiday_-35to0",-30,-30.1679201480037,"N91","NTC2","ok",2860008.05,114570.138354545,9.0046556923582,-9,30,10.6,-25.3,FALSE
"A_20260703-234444_multiday_-35to0",-30,-30.1679201480037,"N91","TestSB","ok",2859968.71666667,114568.020398452,9.36212243578183,-10.4,30,10.6,-25.3,FALSE
"A_20260703-234444_multiday_-35to0",-30,-30.1671248773982,"N29","NTC1","ok",2866029.01666667,114894.581992822,-46.4632441500292,-51.6,30,7.1,6.5,TRUE
"A_20260703-234444_multiday_-35to0",-30,-30.1671248773982,"N29","NTC2","ok",2869605.43333333,115087.522325286,-78.8945891529487,-7.5,30,7.1,6.5,TRUE
"A_20260703-234444_multiday_-35to0",-30,-30.1671248773982,"N29","TestSB","ok",2859272.58333333,114530.539482615,14.8940643944435,-5.3,30,7.1,6.5,TRUE
"A_20260703-234444_multiday_-35to0",-30,-30.1671248773982,"N97","NTC1","ok",2856737.36666667,114394.092479586,37.9473784003928,-5.8,30,7.1,6.5,TRUE
"A_20260703-234444_multiday_-35to0",-30,-30.1671248773982,"N97","NTC2","ok",2864633.1,114819.320242157,-33.7960589229418,-6.6,30,7.1,6.5,TRUE
"A_20260703-234444_multiday_-35to0",-30,-30.1671248773982,"N97","TestSB","ok",2865111.53333333,114845.112435267,-38.1381422781395,-27.8,30,7.1,6.5,TRUE
"A_20260703-234444_multiday_-35to0",-30,-30.1671248773982,"N98","NTC1","ok",2914395.46666667,117518.009169273,-482.328088031576,-448.6,30,7.1,6.5,TRUE
"A_20260703-234444_multiday_-35to0",-30,-30.1671248773982,"N98","NTC2","ok",2831530.18333333,113041.939288507,268.067451827736,324.1,30,7.1,6.5,TRUE
"A_20260703-234444_multiday_-35to0",-30,-30.1671248773982,"N98","TestSB","ok",2770776.73333333,109816.381420474,829.622118999087,826.3,30,7.1,6.5,TRUE
"A_20260703-234444_multiday_-35to0",-30,-30.1671248773982,"N99","NTC1","ok",2870188.41666667,115118.988840117,-84.1780573340678,-27.3,30,7.1,6.5,TRUE
"A_20260703-234444_multiday_-35to0",-30,-30.1671248773982,"N99","NTC2","ok",2864420.26666667,114807.847417913,-31.8642745303599,-4.9,30,7.1,6.5,TRUE
"A_20260703-234444_multiday_-35to0",-30,-30.1671248773982,"N99","TestSB","ok",2855225.66666667,114312.771406387,51.7014862918508,28.5,30,7.1,6.5,TRUE
"A_20260703-234444_multiday_-35to0",-30,-30.1658543743353,"N92","NTC1","ok",2860720.67123288,114608.513873255,0.46316969451965,-81.1,30,7.1,6.5,TRUE
"A_20260703-234444_multiday_-35to0",-30,-30.1658543743353,"N92","NTC2","ok",2858625.16438356,114495.687060925,19.5091216744245,-7.9,30,7.1,6.5,TRUE
"A_20260703-234444_multiday_-35to0",-30,-30.1658543743353,"N92","TestSB","ok",2867132.15068493,114954.076079247,-57.7405687282848,-11.9,30,7.1,6.5,TRUE
"A_20260703-234444_multiday_-35to0",-30,-30.1658543743353,"N93","NTC1","ok",2867362.7260274,114966.513437492,-59.8317864718396,-17.5,30,7.1,6.5,TRUE
"A_20260703-234444_multiday_-35to0",-30,-30.1658543743353,"N93","NTC2","ok",2859645.57534247,114550.621179355,10.2332518789083,-7.4,30,7.1,6.5,TRUE
"A_20260703-234444_multiday_-35to0",-30,-30.1658543743353,"N93","TestSB","ok",2860603.56164384,114602.206927707,1.52727532015007,-6.9,30,7.1,6.5,TRUE
"A_20260703-234444_multiday_-35to0",-30,-30.1658543743353,"N94","NTC1","ok",2867975.63013699,114999.577174452,-65.3898999947771,-5,30,7.1,6.5,TRUE
"A_20260703-234444_multiday_-35to0",-30,-30.1658543743353,"N94","NTC2","ok",2865313.61643836,114856.007565718,-41.2425008582815,-7.2,30,7.1,6.5,TRUE
"A_20260703-234444_multiday_-35to0",-30,-30.1658543743353,"N94","TestSB","ok",2869176.50684932,115064.37384839,-76.2772596937324,-7.2,30,7.1,6.5,TRUE
"A_20260703-234444_multiday_-35to0",-30,-30.1658543743353,"N96","NTC1","ok",2864056.38356164,114788.2335869,-29.8317197542062,-5.4,30,7.1,6.5,TRUE
"A_20260703-234444_multiday_-35to0",-30,-30.1658543743353,"N96","NTC2","ok",2868228.47945205,115013.218810992,-67.6825818656752,-4.9,30,7.1,6.5,TRUE
"A_20260703-234444_multiday_-35to0",-30,-30.1658543743353,"N96","TestSB","ok",2859615.05479452,114548.977901131,10.5106548664153,-64.4,30,7.1,6.5,TRUE
"A_20260703-234444_multiday_-35to0",-30,-30.1627827296672,"N92","NTC1","ok",2860105.6,114575.391151669,2.98070667170691,-78.6,30,10.6,-25.3,FALSE
"A_20260703-234444_multiday_-35to0",-30,-30.1627827296672,"N92","NTC2","ok",2857967.51666667,114460.289554008,22.4171276190077,-5,30,10.6,-25.3,FALSE
"A_20260703-234444_multiday_-35to0",-30,-30.1627827296672,"N92","TestSB","ok",2866404.2,114914.814559702,-54.2091280785257,-8.4,30,10.6,-25.3,FALSE
"A_20260703-234444_multiday_-35to0",-30,-30.1627827296672,"N93","NTC1","ok",2866848.86666667,114938.796532302,-58.2427652596493,-15.9,30,10.6,-25.3,FALSE
"A_20260703-234444_multiday_-35to0",-30,-30.1627827296672,"N93","NTC2","ok",2859212.71666667,114527.316460142,11.0961077711806,-6.5,30,10.6,-25.3,FALSE
"A_20260703-234444_multiday_-35to0",-30,-30.1627827296672,"N93","TestSB","ok",2860102.41666667,114575.219736045,3.00963629831585,-5.5,30,10.6,-25.3,FALSE
"A_20260703-234444_multiday_-35to0",-30,-30.1627827296672,"N94","NTC1","ok",2867474.58333333,114972.547329719,-63.9178792391704,-3.5,30,10.6,-25.3,FALSE
"A_20260703-234444_multiday_-35to0",-30,-30.1627827296672,"N94","NTC2","ok",2864773.08333333,114826.866392853,-39.408703982474,-5.4,30,10.6,-25.3,FALSE
"A_20260703-234444_multiday_-35to0",-30,-30.1627827296672,"N94","TestSB","ok",2868676.1,115037.37071379,-74.8125743841683,-5.8,30,10.6,-25.3,FALSE
"A_20260703-234444_multiday_-35to0",-30,-30.1627827296672,"N96","NTC1","ok",2863501.9,114758.349417203,-27.86952735363,-3.4,30,10.6,-25.3,FALSE
"A_20260703-234444_multiday_-35to0",-30,-30.1627827296672,"N96","NTC2","ok",2867724.3,114986.018323531,-66.1824762238155,-3.4,30,10.6,-25.3,FALSE
"A_20260703-234444_multiday_-35to0",-30,-30.1627827296672,"N96","TestSB","ok",2859028.85,114517.417979867,12.7675228579847,-62.1,30,10.6,-25.3,FALSE
"A_20260703-234444_multiday_-35to0",-30,-30.1561263582159,"N29","NTC1","ok",2864777.68493151,114827.114457797,-46.1068389709389,-51.3,30,10.6,-25.3,FALSE
"A_20260703-234444_multiday_-35to0",-30,-30.1561263582159,"N29","NTC2","ok",2868358.04109589,115020.209196831,-78.585320029287,-7.2,30,10.6,-25.3,FALSE
"A_20260703-234444_multiday_-35to0",-30,-30.1561263582159,"N29","TestSB","ok",2858062.79452055,114465.417482257,14.8943750590043,-5.3,30,10.6,-25.3,FALSE
"A_20260703-234444_multiday_-35to0",-30,-30.1561263582159,"N97","NTC1","ok",2855408.1369863,114322.585727992,39.042460028174,-4.7,30,10.6,-25.3,FALSE
